artist,danceability,energy_i,loudness,speechiness,acousticness,instrumentalness,liveness,valence_i,tempo,valence_l,arousal,dominance,goodness,energy_l,structure,power,danger,scored_words,genre
Rosa Walton,0.49,0.738,-7.399,0.0367,0.00237,4.58e-06,0.0851,0.126,124.966,0.1092916883116883,-0.0643556103896104,0.0258424025974025,0.1164443532467532,-0.0565192571428571,-0.0006165168831168,0.0423733792207792,-0.1223037999999999,385,niche or unknown
SALES,0.725,0.446,-8.958,0.0287,0.85,0.243,0.107,0.311,90.024,0.0884149775784753,-0.0459166726457399,0.0451140582959641,0.104937394618834,-0.0275293452914798,-0.0138227174887892,0.0547356547085201,-0.0936681031390134,223,indie
SZA,0.614,0.5266666666666667,-8.398333333333333,0.1022666666666666,0.3866666666666666,0.0007775333333333,0.3279666666666667,0.4436666666666666,115.871,0.1175182986656849,-0.0618298637554337,0.0303906930147087,0.125361925107181,-0.0532819881802749,0.0015607208645436,0.0509681697509624,-0.1263203298914266,806,hip hop
Sabrina Carpenter,0.601,0.247,-15.146,0.0586,0.623,0.907,0.105,0.0387,148.028,0.1139460056657223,-0.0433739320113314,0.0269781444759206,0.1178776997167138,-0.0393353059490084,0.0122613626062322,0.0555378243626062,-0.1111663371104815,353,pop
Sam Smith,0.714,0.472,-7.375,0.0864,0.013,4.51e-06,0.266,0.238,131.121,0.1179205594405594,-0.0332107552447552,0.0467610839160839,0.1293163251748251,-0.0208599405594405,0.0060749265734265,0.0766902342657342,-0.1061906503496503,286,pop
Saweetie,0.84,0.766,-4.12,0.136,0.00302,3.61e-06,0.0684,0.402,94.018,0.1310429629629629,-0.0620141481481481,0.0245894444444444,0.1342777555555555,-0.0587361703703703,0.0119224333333333,0.053415974074074,-0.1364814,270,hip hop
Selena Gomez,0.6,0.389,-5.727,0.0337,0.566,0.0,0.0826,0.244,143.577,0.1404163636363636,-0.0724114545454545,0.043945,0.1532438818181818,-0.0583167636363636,-0.0025934909090909,0.0671235727272727,-0.1495960090909091,110,pop
Shawn Mendes,0.5005,0.4884999999999999,-8.843,0.0351,0.3204,7.3e-05,0.3370999999999999,0.3218,112.705,0.134524380587484,-0.0622839278416347,0.0191037005108556,0.1346840792624521,-0.0624878275063856,0.0172182594987228,0.0510504090038314,-0.1394215839719029,390,pop
SiM,0.408,0.875,-1.536,0.0546,1.68e-05,0.000101,0.264,0.646,144.975,0.0794398540145985,-0.0047579708029197,0.0856296715328467,0.1105435948905109,0.0298231131386861,-0.0235882700729927,0.0992542591240876,-0.0570780182481751,274,niche or unknown
Ski Mask The Slump God,0.847,0.916,-5.757,0.222,0.101,0.000766,0.118,0.751,104.018,0.1289498795180722,-0.0358575662650602,0.0326100602409638,0.132425048192771,-0.0324741506024096,0.0196524518072289,0.0706759638554217,-0.1166013493975903,166,hip hop
Sleepy Hallow,0.8185,0.5469999999999999,-6.0625,0.2625,0.6595,0.0,0.1154999999999999,0.6565000000000001,78.991,0.1019814492753623,-0.0672589347826086,0.0196777898550724,0.1075965282608695,-0.0610904393115942,-0.001448164673913,0.0328847268115942,-0.119279648731884,350,hip hop
Smino,0.78,0.622,-6.583,0.111,0.154,9.53e-05,0.135,0.528,147.929,0.0686143283582089,-0.0703988358208955,0.0054420149253731,0.0723936044776119,-0.0660759328358208,-0.0093082089552238,0.0044672462686567,-0.0979127164179104,134,r&b
Southside,0.744,0.608,-6.386,0.0442,0.0295,0.0,0.397,0.0692,130.045,0.1322601724137931,-0.0855823793103448,0.0480389655172413,0.1501372586206896,-0.0656630474137931,-0.016490948275862,0.0597322456896551,-0.1525938232758621,232,hip hop
Stephanie Beatriz,0.5296666666666666,0.5496666666666666,-8.371,0.1591333333333333,0.308,0.0,0.0987333333333333,0.3896666666666666,148.66299999999998,0.1753601726976585,-0.0836287512913287,0.0493285971851451,0.1876911398578591,-0.0702267564225718,0.0042929077028264,0.0830598253285325,-0.1823754768096895,654,niche or unknown
Stephen Sanchez,0.551,0.55,-5.339,0.0286,0.777,0.0,0.202,0.342,101.19,0.1399247852760736,-0.0745242822085889,0.0317161656441717,0.1472478711656441,-0.0666107791411042,0.0044426503067484,0.0570190245398773,-0.1512208773006135,163,niche or unknown
Steve Lacy,0.603,0.6032,-7.229999999999999,0.04998,0.41402,0.272953264,0.2136,0.6586000000000001,132.81199999999998,0.1214422473199683,-0.0631285180102846,0.0264869964149565,0.1270656786142822,-0.0570955120130727,0.0054177935195708,0.0494763594588749,-0.1302215984117687,1334,niche or unknown
Sueco,0.61,0.894,-3.956,0.129,0.00317,0.0,0.0539,0.65,96.622,0.0510819108280254,-0.0730679108280254,0.0179023248407643,0.0636481210191083,-0.0587267898089171,-0.0277276305732484,0.0034798152866242,-0.0865321210191082,157,hip hop
Suki Waterhouse,0.364,0.554,-9.076,0.0301,0.077,0.000297,0.125,0.257,150.079,0.1257139901477832,-0.0454389064039408,0.0332095320197044,0.1313496748768473,-0.0395379852216748,0.0124706896551724,0.0649206502463054,-0.1208358620689655,203,pop
Surf Curse,0.345,0.941,-9.918,0.0466,3.84e-05,0.633,0.0511,0.407,179.626,0.0942979190751445,-0.073509352601156,0.0052900867052023,0.0949674739884393,-0.0728212080924855,0.0013813583815028,0.0156597225433526,-0.1186445606936416,173,indie
Swedish House Mafia,0.553,0.659,-7.295,0.0391,0.0027,0.0,0.105,0.105,120.146,0.1283043243243243,-0.0672242582582582,0.0214125675675675,0.1311610930930931,-0.064320006006006,0.0099616726726726,0.0472637837837837,-0.138226039039039,333,pop
